start_set,start_set_latitude,start_set_longitude,end_set,end_set_latitude,end_set_longitude,start_haul,start_haul_latitude,start_haul_longitude,end_haul,end_haul_latitude,end_haul_longitude,md_timestamp_added
2024-02-02 15:58z,9.97798,-84.84572,2024-02-02 15:58z,9.97798,-84.84572,2024-02-02 15:59z,9.97798,-84.84572,2024-02-02 15:59z,9.97798,-84.84572,2024-02-04 02:13z
2024-02-04 20:56z,8.66742,-86.19048,2024-02-05 00:55z,8.81890,-86.44608,2024-02-05 11:39z,8.77770,-86.33780,2024-02-05 17:15z,8.78984,-86.02663,2024-02-06 02:12z
2024-02-04 20:56z,8.66742,-86.19048,2024-02-05 00:55z,8.81890,-86.44608,2024-02-05 11:39z,8.77770,-86.33780,2024-02-05 17:15z,8.78984,-86.02663,2024-02-07 07:27z
2024-02-06 11:16z,8.74494,-87.05440,2024-02-06 15:07z,8.55712,-86.71497,2024-02-06 22:38z,8.55700,-86.63130,2024-02-07 06:00z,8.68750,-86.79122,2024-02-07 20:02z
2024-02-07 11:49z,8.63464,-87.00324,2024-02-07 15:41z,8.44511,-86.67264,2024-02-08 06:34z,8.39921,-86.54535,2024-02-08 12:15z,8.39921,-86.54535,2024-02-08 20:32z
2024-02-10 23:05z,8.26493,-85.90929,2024-02-11 02:48z,8.36721,-86.12379,2024-02-11 11:37z,8.45249,-85.94312,2024-02-11 16:31z,8.50091,-85.64414,2024-02-12 01:25z
2024-02-12 18:10z,8.23439,-85.98897,2024-02-12 22:22z,8.38631,-86.27078,2024-02-13 11:56z,8.40943,-86.03205,2024-02-13 19:29z,8.46529,-85.62505,2024-02-14 03:54z
2024-02-14 11:30z,8.37064,-86.25940,2024-02-14 17:20z,8.17721,-85.87778,2024-02-14 23:35z,8.25714,-85.77261,2024-02-15 04:36z,8.40121,-85.92060,2024-02-15 22:31z
2024-02-16 17:24z,7.76831,-86.17971,2024-02-16 21:28z,7.91973,-86.40271,2024-02-17 11:07z,7.88660,-86.07117,2024-02-17 17:28z,7.77765,-85.72320,2024-02-18 03:58z
2024-02-18 18:26z,6.54124,-85.90118,2024-02-18 22:27z,6.12909,-85.90278,2024-02-19 13:14z,6.08922,-85.91715,2024-02-19 19:24z,6.33645,-86.00601,2024-02-20 04:35z
2024-02-19 21:12z,6.29446,-85.89113,2024-02-20 01:13z,6.13883,-85.64896,2024-02-20 12:10z,6.18670,-85.74824,2024-02-20 15:59z,6.35874,-85.99619,2024-02-21 00:07z
2024-02-20 21:35z,6.87621,-86.05218,2024-02-21 01:51z,7.10797,-86.32280,2024-02-21 11:32z,7.12511,-86.22071,2024-02-21 15:52z,7.00752,-85.94676,2024-02-22 00:17z
2024-02-21 22:33z,7.40671,-86.09276,2024-02-22 01:23z,7.53389,-86.28571,2024-02-22 11:48z,7.54506,-86.17279,2024-02-22 16:34z,7.47087,-85.82713,2024-02-23 00:37z
2024-02-23 19:51z,7.66363,-85.66337,2024-02-23 23:15z,7.79779,-85.89727,2024-02-24 12:18z,7.89004,-85.65876,2024-02-24 16:29z,7.86937,-85.35468,2024-02-25 01:32z
